k,C_measured,C_HL_prediction
326,0.471303,0.465164
327,1.105156,1.080721
328,0.858669,0.841861
329,0.931654,0.918876
330,1.687440,1.654386
331,0.563318,0.560370
332,0.831776,0.818853
333,0.857433,0.843568
334,0.762456,0.745855
335,1.257584,1.235885
336,0.735947,0.720681
337,0.986973,0.970539
338,1.366902,1.346611
339,0.414876,0.408255
340,1.399164,1.376523
341,0.754273,0.741355
342,1.055910,1.040253
343,1.358335,1.341580
344,0.426212,0.418045
345,2.139266,2.114105
346,0.449909,0.440480
347,0.900883,0.888815
348,1.425929,1.403000
349,0.407588,0.403100
350,2.025239,1.988198
351,0.555306,0.543829
352,1.400933,1.376608
353,0.873436,0.857475
354,0.418648,0.412090
355,2.028031,1.990041
356,0.477100,0.469683
357,1.591632,1.565748
358,0.903845,0.882305
359,0.622431,0.610472
360,1.469635,1.442985
361,0.463525,0.452323
362,1.128298,1.110972
363,1.125592,1.109521
364,0.826917,0.809947
365,1.257647,1.236637
366,0.562061,0.551826
367,1.032469,1.011882
368,1.070400,1.050733
369,0.576147,0.567285
370,1.482037,1.459399
371,0.709864,0.694820
372,0.874246,0.857220
373,1.237276,1.212631
374,0.647640,0.640021
375,1.223446,1.197077
376,0.593088,0.583451
377,1.079244,1.061167
378,1.558347,1.534046
379,0.412212,0.405669
380,2.021829,1.980725
381,0.521466,0.513073
382,0.880980,0.860984
383,1.168083,1.150198
384,0.404967,0.397572
385,2.793512,2.752429
386,0.502053,0.489384
387,1.189627,1.171774
388,0.830284,0.815074
389,0.477547,0.471981
390,1.990206,1.953881
391,0.519037,0.508766
392,1.589331,1.562107
393,0.923599,0.908080
394,0.600631,0.594569
395,1.290187,1.261572
396,0.555242,0.545489
397,1.170513,1.153460
398,0.815495,0.805992
399,0.895257,0.878272
400,1.394178,1.374840
401,0.553239,0.546390
402,0.910707,0.898897
403,1.221570,1.198976
404,0.553622,0.543730
405,1.292787,1.272123
406,0.779930,0.767963
407,1.272543,1.252227
408,1.240493,1.222172
409,0.407247,0.400814
410,1.274226,1.257048
411,0.630422,0.614866
412,0.976042,0.960537
413,1.453184,1.424133
414,0.562018,0.552735
415,1.681729,1.652226
416,0.524215,0.517830
417,0.827067,0.808127
418,1.579422,1.557256
419,0.455428,0.445376
420,2.264716,2.230375
421,0.411381,0.404746
422,1.308045,1.292765
423,0.852830,0.840109
424,0.484388,0.476736
425,2.452133,2.419081
426,0.420097,0.409369
427,1.392963,1.371503
428,0.829560,0.813007
429,0.894724,0.876695
430,1.275015,1.253647
431,0.463227,0.458751
432,1.108928,1.091262
433,1.045276,1.031061
434,0.717642,0.711560
435,1.325220,1.295974
436,0.679967,0.664206
437,1.045319,1.029203
438,0.929118,0.920416
439,0.553047,0.544800
440,1.559029,1.533152
441,0.674490,0.664500
442,1.161605,1.143115
443,1.165164,1.148402
444,0.523150,0.511676
445,1.362640,1.342293
446,0.615505,0.602539
447,0.965749,0.950656
448,1.467802,1.449143
449,0.404264,0.400459
450,1.754416,1.727724
451,0.610220,0.598507
452,0.887820,0.869584
453,1.179420,1.167688
454,0.436846,0.426457
455,2.938311,2.878758
456,0.475459,0.463768
457,1.086510,1.071013
458,0.932464,0.915887
459,0.538983,0.532518
460,1.799784,1.765001
461,0.404626,0.401560
462,1.871427,1.847347
463,0.816817,0.805466
464,0.658955,0.644462
465,1.438523,1.418531
466,0.466679,0.461589
467,1.078221,1.064444
468,1.060918,1.042880
469,0.870240,0.857170
470,1.376214,1.359820
471,0.547720,0.543170
472,0.935404,0.926040
473,1.112551,1.090443
474,0.574122,0.565415
475,1.522312,1.490352
476,0.776904,0.764304
477,1.082035,1.055086
478,1.128256,1.096970
479,0.407332,0.400233
480,1.400997,1.372403
481,0.747518,0.739088
482,0.882258,0.862630
483,1.555065,1.529270
484,0.522255,0.510980
485,1.839590,1.804339
486,0.426681,0.421441
487,0.914649,0.893127
488,1.356630,1.340067
489,0.408973,0.403532
490,2.270405,2.226636
491,0.497408,0.487021
492,1.156768,1.141326
493,1.038585,1.020509
494,0.561315,0.550497
495,2.117403,2.085573
496,0.437698,0.426854
497,1.402702,1.375539
498,0.969606,0.952518
499,0.669568,0.660271
500,1.306169,1.287812
501,0.418861,0.411643
502,1.280193,1.260002
503,0.945271,0.927176
504,0.729107,0.721208
505,1.243945,1.220049
506,0.836997,0.825182
507,1.050050,1.036196
508,0.827471,0.821360
509,0.554453,0.539197
510,1.607806,1.582742
511,0.785065,0.772049
512,0.860586,0.845138
513,1.393070,1.372604
514,0.433138,0.428033
515,1.233717,1.222709
516,0.680840,0.666102
517,1.139571,1.119483
518,1.434559,1.408592
519,0.449142,0.441069
520,1.986626,1.950418
521,0.534422,0.523870
522,0.872158,0.860586
523,1.084379,1.069370
524,0.528520,0.512238
525,2.027945,1.997231
526,0.438657,0.432283
527,1.364174,1.341310
528,1.043486,1.024459
529,0.507551,0.497210
530,1.781181,1.753869
531,0.423293,0.413943
532,1.818941,1.783175
533,1.149757,1.126864
534,0.548742,0.544373
535,1.424267,1.410803
536,0.417923,0.409991
537,1.313734,1.298350
538,0.928713,0.919260
539,0.880021,0.860293
540,1.218289,1.192115
541,0.560399,0.553075
542,0.902481,0.889110
543,0.969990,0.951150
544,0.664901,0.655163
545,1.354158,1.330670
546,0.948211,0.930896
547,0.829965,0.819218
548,1.177545,1.163223
549,0.424145,0.415462
550,1.897552,1.866505
551,0.670399,0.660287
552,0.892977,0.880530
553,1.402936,1.377073
554,0.467276,0.460286
555,2.047380,2.014726
556,0.414577,0.403244
557,0.990852,0.977090
558,1.187113,1.159701
559,0.524045,0.511793
560,2.213807,2.176391
561,0.627204,0.613798
562,1.077070,1.073702
563,0.905656,0.889388
564,0.455385,0.448507
565,1.919799,1.885307
566,0.405990,0.400198
567,1.572965,1.545128
568,1.104517,1.084960
569,0.551726,0.541000
570,1.445790,1.429723
571,0.404136,0.402619
572,1.841082,1.809515
573,0.839831,0.823783
574,0.707392,0.698034
575,1.341778,1.320589
576,0.729980,0.721449
577,0.816284,0.803112
578,0.934744,0.919079
579,0.645509,0.642257
580,1.379922,1.356450
581,0.792545,0.772823
582,0.828132,0.813648
583,1.618312,1.590201
584,0.454554,0.444495
585,1.485532,1.460244
